bankcd,banknm,rivnm,rivdv,banklr,staddr,stchm,stchs,edaddr,edchm,edchs,len,plfwv,plfwl,plrivwith,bankwith,inslp,outslp,sttmx,sttmy,edtmx,edtmy,outstn,instn,gatecnt,pgatecnt,pipecnt,pumtcnt,bodysf,etcsf,mngrdtp,bkrdtp,hgebmttp,hgebmtst,bedtp,bedst,lwebmttp,lwebmtst,waystn,crstp,bedsoil
301001020009,수통제,금강,지방1급,우,충청남도 금산군 부리면 수통리,113,0,충청남도 금산군 부리면 수통리,104,0,1530,3060,151.35~148.80,210~280,3,1:2.0,1:2.0,253420,283396,252588,283791,체육시설로 이용,밭(과수원) 및 주거지로 이용,,1,,,보통,,비포장,,돌망태,보통,,,,,사행부,단단면,"모래, 자갈"
301001020010,대차제,금강,지방1급,우,전라북도 무주군 무주읍 대차리,70,30,전라북도 무주군 무주읍 대차리,61,40,1846,3910,176.66~175.42,170~300,5,1:2.0,1:2.0,255955,278268,255481,280106,,"밭(인삼), 주거지로 이용",,3,6,,양호,,비포장,,"돌망태, 블록",양호,"돌망태, 돌던짐",양호,돌망태,양호,직선부,복단면,"모래, 자갈"
301001020011,대차2제,금강,지방1급,우,전라북도 무주군 무주읍 대차리,73,190,전라북도 무주군 무주읍 대차리,70,100,950,2820,176.85,177~388,4,1:2.0,1:2.0,255678,277671,255965,277970,,밭(인삼)으로 이용,,,,,보통,"무주남대천 합류부, 제체에 도로공사중",비포장,,블록,보통,,,,,직선부,단단면,"모래, 자갈"
301001020012,용포제,금강,지방1급,우,전라북도 무주군 무주읍 대차리,77,100,전라북도 무주군 무주읍 대차리,75,30,450,2820,177.73,145~240,3,1:2.0,1:2.0,255765,276965,255724,277340,,"밭, 주거지로 이용",,,,,양호,"대전, 통영간 고속도로 횡단",콘크리트,,돌붙임,보통,돌붙임,보통,,,직선부,단단면,"모래, 자갈"
301001020013,굴암1제,금강,지방1급,우,전라북도 무주군 부남면 굴암리,116,150,전라북도 무주군 부남면 굴암리,111,150,1019,2740,188.75~186.87,154~200,,1:2.0,1:2.0,252490,276522,252419,277549,,"논, 밭, 주거지로 이용",,1,2,,양호,,아스팔트,아스팔트,블록,보통,,,,,직선부,단단면,"모래, 자갈"
301001020014,대소2제,금강,지방1급,우,전라북도 무주군 부남면 대소리,151,100,전라북도 무주군 부남면 대소리,150,0,500,2740,200.44,200~210,3,1:2.0,1:2.0,249815,274212,250177,273853,,"논, 밭으로 이용",,2,1,,보통,,비포장,,돌망태,보통,돌망태,보통,,,사행부,단단면,"모래, 자갈"
301050010000,대차1,무주남대천,지방1급,좌,전라북도 무주군 무주읍 대차리,3,30,전라북도 무주군 무주읍 대차리,0,0,630,2030,176.74~177.14,163~345,,1:2.0,1:2.0,256461,278262,255965,277970,,"농경지(논+인삼밭)로 이용, 경지정리 공사중",,,2,,보통,"제체법면에 나무가 식재됨, 제방공사중",비포장,,블록,보통,돌망태,보통,,,사행부,단단면,"사질토, 자갈"
301050010001,대차4,무주남대천,지방1급,좌,전라북도 무주군 무주읍 대차리,7,150,전라북도 무주군 무주읍 대차리,6,150,100,1860,179.24,345,11,1:2.0,1:2.0,256197,278344,255955,278268,,농경지(과수원) 및 주거지로 이용,,,,,양호,제체법면에 나무를 식재,비포장,,돌붙임,양호,,,,,사행부,단단면,"사질토, 자갈"
301050010002,대차2,무주남대천,지방1급,좌,전라북도 무주군 무주읍 대차리,6,150,전라북도 무주군 무주읍 대차리,3,130,620,1860,177.30~178.27,119~145,,1:2.0,1:0.3~1:2.0,257110,278116,256587,278327,,농경지(논+인삼밭)로 이용,,,1,,양호,제체법면에 잡목이 식생,비포장,,"돌붙임, 블록",보통,,,,,사행부,단단면,"사질토, 자갈"
301050010003,읍내2,무주남대천,지방1급,좌,전라북도 무주군 무주읍 당산리,33,100,전라북도 무주군 무주읍 당산리,16,150,3350,,184.73~195.32,115~201,,,1:0.3~1:2.0,261787,278600,257935,277660,"상수원보호구역, 조깅을 할수 있는 산책로가 조성됨",주거지 및 농경지로 이용,,6,7,,양호,제방겸도로,섬미보상류는 비포장,아스팔트,"돌망태, 돌붙임",양호,돌망태,보통,자연석,양호,사행부,복단면,"사질토, 자갈"
